Date,Open,930,315,Close,Volume
2017-12-21,10473.95,10454.6,10443.0,10429.65,0
2017-12-22,10457.3,10457.7,10498.1,10486.6,0
2017-12-26,10512.3,10495.45,10529.2,10525.6,0
2017-12-27,10531.05,10535.8,10503.7,10475.1,0
2017-12-28,10498.2,10506.45,10472.2,10467.0,0
2017-12-29,10492.35,10511.25,10534.35,10526.45,0
2018-01-01,10531.7,10523.85,10443.25,10432.45,0
2018-01-02,10477.55,10447.35,10445.1,10439.55,0
2018-01-03,10482.65,10467.1,10440.65,10446.75,0
2018-01-04,10469.4,10460.05,10503.95,10505.35,0
2018-01-05,10534.25,10545.35,10555.3,10561.35,0
2018-01-08,10591.7,10615.95,10625.8,10617.85,0
2018-01-09,10645.1,10615.65,10636.75,10628.3,0
2018-01-10,10652.05,10637.75,10636.25,10625.4,0
2018-01-11,10637.05,10615.9,10651.5,10650.4,0
2018-01-12,10682.55,10679.95,10686.85,10667.3,0
2018-01-15,10718.5,10741.2,10740.35,10732.85,0
2018-01-16,10761.5,10759.0,10698.25,10711.15,0
2018-01-17,10702.45,10713.65,10788.55,10794.3,0
2018-01-18,10873.4,10875.0,10816.65,10822.1,0
2018-01-19,10829.2,10799.6,10890.05,10900.05,0
2018-01-22,10883.2,10907.2,10956.75,10958.75,0
2018-01-23,10997.4,11022.65,11087.9,11083.55,0
2018-01-24,11069.35,11068.25,11091.5,11084.65,0
2018-01-25,11095.6,11074.9,11074.8,11064.55,0
2018-01-29,11079.35,11140.0,11133.05,11124.7,0
2018-01-30,11120.85,11065.8,11049.9,11049.45,0
2018-01-31,11018.8,11043.15,11026.8,11030.7,0
2018-02-01,11044.55,11067.8,11020.35,11020.6,0
2018-02-02,10938.2,10946.35,10771.95,10737.5,0
2018-02-05,10604.3,10644.1,10662.6,10690.75,0
2018-02-06,10295.15,10365.35,10478.5,10520.35,0
2018-02-07,10607.2,10546.55,10479.65,10459.5,0
2018-02-08,10518.5,10545.7,10584.65,10579.3,0
2018-02-09,10416.5,10440.85,10461.55,10466.8,0
2018-02-12,10518.2,10516.45,10539.15,10535.1,0
2018-02-14,10585.75,10543.95,10503.0,10459.8,0
2018-02-15,10537.9,10540.4,10548.3,10549.7,0
2018-02-16,10596.2,10583.95,10455.65,10451.85,0
2018-02-19,10488.9,10417.7,10376.5,10387.95,0
2018-02-20,10391.0,10422.6,10353.15,10357.65,0
2018-02-21,10426.0,10364.65,10395.7,10395.15,0
2018-02-22,10354.35,10349.4,10380.35,10377.8,0
2018-02-23,10408.1,10412.15,10487.25,10492.55,0
2018-02-26,10526.55,10545.85,10586.6,10576.7,0
2018-02-27,10615.2,10591.85,10555.3,10551.05,0
2018-02-28,10488.95,10494.2,10492.25,10487.95,0
2018-03-01,10479.95,10505.85,10459.3,10449.95,0
2018-03-05,10428.3,10372.4,10359.85,10357.3,0
2018-03-06,10420.5,10432.95,10263.55,10223.6,0
2018-03-07,10232.95,10214.15,10149.9,10163.55,0
2018-03-08,10216.25,10188.15,10227.3,10236.35,0
2018-03-09,10271.3,10267.45,10225.95,10229.8,0
2018-03-12,10301.6,10316.5,10427.6,10423.55,0
2018-03-13,10389.5,10426.0,10410.4,10425.2,0
2018-03-14,10393.05,10381.0,10409.0,10415.65,0
2018-03-15,10405.45,10394.1,10364.4,10352.25,0
2018-03-16,10345.15,10324.9,10189.3,10220.05,0
2018-03-19,10215.35,10194.6,10087.15,10093.95,0
2018-03-20,10051.55,10103.45,10118.5,10138.2,0
2018-03-21,10181.95,10191.6,10164.65,10154.95,0
2018-03-22,10167.5,10194.65,10111.2,10106.65,0
2018-03-23,9968.8,9978.15,10005.8,9986.8,0
2018-03-26,9989.15,9992.7,10135.25,10140.8,0
2018-03-27,10188.0,10202.1,10183.3,10183.55,0
2018-03-28,10143.6,10135.85,10103.05,10121.25,0
2018-04-02,10151.65,10149.9,10212.05,10217.0,0
2018-04-03,10186.85,10217.35,10244.4,10244.4,0
2018-04-04,10274.6,10257.1,10135.4,10119.9,0
2018-04-05,10228.45,10238.7,10322.75,10327.65,0
2018-04-06,10322.75,10306.9,10332.15,10320.95,0
2018-04-09,10333.7,10371.25,10383.85,10373.35,0
2018-04-10,10412.9,10415.2,10400.75,10401.35,0
2018-04-11,10428.15,10378.4,10421.65,10414.05,0
2018-04-12,10410.65,10420.2,10460.2,10454.15,0
2018-04-13,10495.3,10483.15,10478.8,10483.7,0
2018-04-16,10398.3,10464.7,10523.3,10530.7,0
2018-04-17,10557.3,10542.2,10547.7,10547.55,0
2018-04-18,10578.9,10544.35,10531.7,10536.65,0
2018-04-19,10563.65,10563.85,10563.35,10568.1,0
2018-04-20,10560.35,10545.3,10559.9,10579.85,0
2018-04-23,10592.8,10566.45,10585.8,10582.8,0
2018-04-24,10578.1,10594.5,10610.75,10620.35,0
2018-04-25,10612.4,10601.15,10571.6,10564.55,0
2018-04-26,10586.5,10585.35,10622.95,10615.55,0
2018-04-27,10651.65,10682.55,10693.95,10694.7,0
2018-04-30,10705.75,10741.2,10738.65,10740.9,0
2018-05-02,10783.85,10739.3,10724.85,10716.8,0
2018-05-03,10720.15,10682.65,10675.25,10669.8,0
2018-05-04,10700.45,10652.2,10617.75,10614.85,0
2018-05-07,10653.15,10642.85,10713.6,10722.75,0
2018-05-08,10757.9,10726.85,10715.45,10714.3,0
2018-05-09,10693.35,10719.95,10746.4,10748.55,0
2018-05-10,10779.65,10771.15,10711.95,10710.35,0
2018-05-11,10741.95,10728.15,10802.65,10798.55,0
2018-05-14,10815.15,10827.45,10812.25,10797.1,0
2018-05-15,10812.6,10865.75,10805.35,10804.05,0
2018-05-16,10751.95,10716.2,10747.45,10742.75,0
2018-05-17,10775.6,10742.15,10672.7,10677.6,0
2018-05-18,10671.85,10636.75,10599.6,10604.45,0
2018-05-21,10616.7,10613.45,10520.35,10520.35,0
2018-05-22,10518.45,10531.7,10536.75,10543.25,0
2018-05-23,10521.1,10514.7,10420.95,10428.55,0
2018-05-24,10464.85,10446.0,10513.15,10533.35,0
2018-05-25,10533.05,10554.8,10596.85,10611.2,0
2018-05-28,10648.35,10665.9,10689.9,10683.1,0
2018-05-29,10689.4,10691.1,10636.95,10630.95,0
2018-05-30,10579.0,10580.1,10612.3,10616.7,0
2018-05-31,10670.1,10636.4,10733.2,10731.9,0
2018-06-01,10738.45,10754.9,10701.35,10686.45,0
2018-06-04,10765.95,10673.6,10635.1,10624.55,0
2018-06-05,10630.7,10610.1,10588.15,10605.75,0
2018-06-06,10603.45,10603.85,10683.1,10687.85,0
2018-06-07,10722.6,10755.5,10773.75,10762.2,0
2018-06-08,10736.4,10740.35,10772.65,10759.35,0
2018-06-11,10781.85,10807.05,10781.95,10781.95,0
2018-06-12,10816.15,10801.6,10837.4,10852.35,0
2018-06-13,10887.5,10853.55,10858.2,10855.05,0
2018-06-14,10832.9,10815.5,10805.7,10810.1,0
2018-06-15,10808.65,10803.5,10825.0,10815.85,0
2018-06-18,10830.2,10799.2,10797.0,10795.05,0
2018-06-19,10789.45,10759.75,10713.1,10711.3,0
2018-06-20,10734.65,10728.5,10774.7,10773.3,0
2018-06-21,10808.45,10769.75,10743.7,10741.95,0
2018-06-22,10742.7,10723.4,10828.3,10824.35,0
2018-06-25,10822.9,10822.45,10763.75,10758.25,0
2018-06-26,10742.7,10770.25,10768.45,10764.05,0
2018-06-27,10785.5,10767.45,10664.35,10667.45,0
2018-06-28,10660.8,10645.95,10587.5,10593.9,0
2018-06-29,10612.85,10658.25,10718.1,10711.4,0
2018-07-02,10732.35,10670.15,10659.1,10651.75,0
2018-07-03,10668.6,10670.25,10695.35,10707.85,0
2018-07-04,10715.0,10682.4,10771.35,10771.65,0
2018-07-05,10786.05,10775.15,10755.5,10753.4,0
2018-07-06,10744.15,10776.45,10768.35,10770.0,0
2018-07-09,10838.3,10825.0,10851.15,10851.05,0
2018-07-10,10902.75,10915.05,10944.95,10947.1,0
2018-07-11,10956.4,10964.55,10951.0,10942.2,0
2018-07-12,11006.95,11021.55,11026.95,11015.3,0
2018-07-13,11056.9,11063.5,11025.8,11021.95,0
2018-07-16,11018.95,10992.65,10941.6,10940.7,0
2018-07-17,10939.65,10969.1,11004.35,11015.15,0
2018-07-18,11060.2,11039.4,10981.3,10983.45,0
2018-07-19,10999.5,10947.8,10954.85,10967.2,0
2018-07-20,10963.5,10984.25,11010.15,11011.95,0
2018-07-23,11019.85,11046.55,11086.35,11079.05,0
2018-07-24,11109.0,11128.7,11135.5,11133.15,0
2018-07-25,11148.4,11142.0,11140.4,11122.9,0
2018-07-26,11132.95,11162.6,11166.95,11184.25,0
2018-07-27,11232.75,11232.9,11278.7,11273.6,0
2018-07-30,11296.65,11304.35,11323.45,11312.9,0
2018-07-31,11311.05,11295.25,11357.25,11357.25,0
2018-08-01,11359.8,11373.15,11349.65,11321.35,0
2018-08-02,11328.9,11275.15,11251.15,11238.15,0
2018-08-03,11297.8,11318.65,11358.1,11362.25,0
2018-08-06,11401.5,11418.4,11389.2,11389.25,0
2018-08-07,11423.15,11388.85,11386.75,11389.1,0
2018-08-08,11412.5,11389.55,11449.3,11455.2,0
2018-08-09,11493.25,11477.0,11472.5,11471.1,0
2018-08-10,11474.95,11456.95,11432.65,11421.3,0
2018-08-13,11369.6,11352.25,11357.8,11363.35,0
2018-08-14,11381.7,11406.25,11439.05,11433.7,0
2018-08-16,11397.15,11407.8,11382.2,11391.2,0
2018-08-17,11437.15,11458.8,11473.0,11465.55,0
2018-08-20,11502.1,11535.5,11549.4,11554.55,0
2018-08-21,11576.2,11547.95,11570.5,11571.25,0
2018-08-23,11620.7,11588.8,11587.15,11578.5,0
2018-08-24,11566.6,11596.95,11560.75,11556.3,0
2018-08-27,11605.85,11655.75,11688.45,11696.8,0
2018-08-28,11731.95,11723.5,11739.2,11743.75,0
2018-08-29,11744.95,11733.1,11687.4,11686.95,0
2018-08-30,11694.75,11673.8,11678.05,11679.55,0
2018-08-31,11675.85,11723.3,11685.95,11675.45,0
2018-09-03,11751.8,11709.65,11585.2,11571.05,0
2018-09-04,11598.75,11551.05,11515.45,11523.15,0
2018-09-05,11514.85,11529.25,11474.65,11471.3,0
2018-09-06,11514.15,11496.95,11527.65,11519.15,0
2018-09-07,11558.25,11493.75,11595.05,11586.05,0
2018-09-10,11570.25,11535.55,11440.4,11439.5,0
2018-09-11,11476.85,11446.6,11285.05,11282.0,0
2018-09-12,11340.1,11288.1,11366.2,11370.2,0
2018-09-14,11443.5,11438.25,11515.8,11510.75,0
2018-09-17,11464.95,11414.2,11376.7,11371.6,0
2018-09-18,11381.55,11375.65,11275.85,11282.25,0
2018-09-19,11326.65,11289.75,11228.05,11237.15,0
2018-09-21,11271.3,11336.55,11149.45,11160.55,0
2018-09-24,11164.4,11093.4,10960.65,10974.7,0
2018-09-25,10969.95,10908.6,11075.25,11080.05,0
2018-09-26,11145.55,11066.8,11061.95,11047.05,0
2018-09-27,11079.8,11067.05,10976.25,10985.95,0
2018-09-28,11008.1,10956.8,10954.8,10931.75,0
2018-10-01,10930.9,10909.75,11006.9,11014.6,0
2018-10-03,10982.7,10915.4,10859.65,10850.45,0
2018-10-04,10754.7,10699.05,10631.1,10552.7,0
2018-10-05,10514.1,10495.2,10316.55,10263.55,0
2018-10-08,10310.15,10255.5,10372.45,10352.75,0
2018-10-09,10390.3,10357.35,10295.55,10291.8,0
2018-10-10,10331.85,10379.95,10452.35,10462.7,0
2018-10-11,10169.8,10190.8,10226.8,10248.3,0
2018-10-12,10331.55,10395.4,10478.0,10465.2,0
2018-10-15,10524.2,10448.5,10516.5,10517.7,0
2018-10-16,10550.15,10577.75,10590.45,10576.45,0
2018-10-17,10688.7,10654.8,10455.05,10458.45,0
2018-10-19,10339.7,10318.65,10301.5,10316.55,0
